code,name,country,region,lat,lng
LEI,Almeria,Spain,Provincia de Almeria,36.834047,-2.463714
SDL,Sundsvall,Sweden,Västernorrland,62.390811,17.306927
ROS,Rosario,Argentina,Santa Fe,-32.944243,-60.650539
AJU,Aracaju,Brazil,Sergipe,-10.947247,-37.073082
YCG,Castlegar,Canada,British Columbia,49.323741,-117.659334
CAS,Casablanca-Anfa,Morocco,,33.572933,-7.622267
TZX,Trabzon,Turkey,Trabzon,41.002697,39.716763
BHD,Belfast City,United Kingdom,,54.597285,-5.930120
DTW,Detroit-Wayne County,United States,Michigan,42.331427,-83.045754
SAP,San Pedro Sula,Honduras,,15.514920,-87.992268
SIA,Xi An,China,,34.341574,108.939770
MOI,"Mitiaro, Cook Island",Cook Islands,,-19.877475,-157.701988
ZCO,Temuco,Chile,Araucania,,
IBZ,Ibiza,Spain,,39.020010,1.482148
CYP,Calbayog,Philippines,,12.067575,124.592957
JOL,Jolo,Philippines,,5.969182,121.125214
CKR,Crane Island,United States,Washington,48.597989,-122.998822
KOA,Kona/Hawaii,United States,Hawaii,19.639994,-155.996926
CBB,Cochabamba,"Bolivia, Plurinational State Of",Cochabamba,-17.413977,-66.165322
KSA,"Kosrae, Caroline Is.","Micronesia, Federated States Of",,,
KOK,Kokkola,Finland,,63.8415,23.125034
ELQ,Gassim,Saudi Arabia,,25.827489,42.863788
BZG,Bydgoszcz,Poland,,53.123480,18.008438
IXE,Mangalore,India,Karnataka,12.914142,74.855957
NOV,Huambo,Angola,,-12.773976,15.746854
TOB,Tobruk,Libya,,32.068176,23.941751
TAG,Tagbilaran,Philippines,,9.672948,123.873002
ENS,Enschede,Netherlands,Overijssel,52.221537,6.893662
KKN,Kirkenes,Norway,Finnmark,69.726919,30.045043
KIV,Kishinev,"Moldova, Republic Of",,47.010453,28.863810
CMU,Kundiawa,Papua New Guinea,,,
TYN,Taiyuan,China,,37.870590,112.548879
YQM,Moncton,Canada,New Brunswick,46.087817,-64.778231
YZV,Sept-Iles,Canada,Quebec,50.213297,-66.375792
CYB,Cayman Brac,Cayman Islands,,19.723533,-79.801657
LBT,Lumberton,United States,North Carolina,34.618220,-79.008642
GEG,Spokane,United States,Washington,47.658780,-117.426047
JEG,Aasiaat,Greenland,,68.706977,-52.859122
JNS,Narsaq,Greenland,,60.912962,-46.050483
ERC,Erzincan,Turkey,Erzincan,39.746797,39.491124
JQA,Qaarsut,Greenland,,70.717880,-52.613129
AWZ,"Ahwaz, Iran","Iran, Islamic Republic Of",,31.318327,48.670619
SEZ,Mahe Island,Seychelles,,-4.682669,55.480396
CMH,Columbus-Intl  ,United States,Ohio,39.999940,-82.887177
NBO,Nairobi-Jomo Kenyatta,Kenya,Nairobi,-1.322710,36.926069
NTG,Nantong,China,Jiangsu,31.980171,120.894291
PFO,Paphos,Cyprus,Pafos,34.772013,32.429737
TFN,Tenerife-Norte Los Rodeos,Spain,,,
SMF,Sacramento-Intl,United States,California,38.695085,-121.590065
OLB,Olbia,Italy,Sassari,40.923576,9.496443
HKD,Hakodate,Japan,Hokkaido,41.768793,140.728810
CSY,Cheboksary,Russian Federation,,56.116766,47.262782
SVO,Moscow-Sheremetyevo,Russian Federation,,55.973648,37.412503
BGA,Bucaramanga,Colombia,,7.119349,-73.122742
TSF,Venice-Treviso,Italy,,45.653276,12.202081
CHS,Charleston,United States,South Carolina,32.776475,-79.931051
INN,Innsbruck,Austria,Tirol,47.269212,11.404102
NLK,Norfolk Island,Norfolk Island,,-29.040835,167.954712
LYR,Longyearbyen,Norway,,78.223172,15.626723
YGJ,Yonago,Japan,Tottori,35.428072,133.330945
CXI,Christmas Island,Christmas Island,,-10.447525,105.690449
UTN,Upington,South Africa,,-28.395268,21.236808
IFO,Ivano-Frankovsk,Ukraine,,48.922633,24.711117
CXR,Nha Trang,Zimbabwe,,12.238791,109.196749
PHC,Port Harcourt,Nigeria,,4.815554,7.049844
JIK,Ikaria Island,Greece,,37.596723,26.112308
PAS,Paros,Greece,,37.085394,25.151534
YVR,Vancouver,Canada,British Columbia,49.282729,-123.120738
ABJ,Abidjan,Côte D'Ivoire,,5.359952,-4.008256
MHT,Manchester,United States,Tennessee,,
FRW,Francistown,Botswana,North-East,-21.166101,27.514360
KYA,Konya,Turkey,Konya,37.874643,32.493155
BUH,Bucharest-Metro,Romania,Bucureşti,44.511726,26.0844
ROB,Monrovia-Roberts,Liberia,,6.241239,-10.352785
AGU,Aguascalientes,Mexico,Aguascalientes,21.885325,-102.291513
YZF,Yellowknife,Canada,Northwest Territory,,
IKT,Irkutsk,Russian Federation,,52.286974,104.305018
AEX,Alexandria Intl.,United States,,,
BLQ,Bologna,Italy,Bologna,44.494887,11.342616
